Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
2017-07-02 20:20,0,0,0,0,0,0.2,0,0,0,0.1,0.2,0,0,0.1,0.2,0.8,0,0,0.1,0.4,0.8,0,0.1,0.2,0.4,0.4
2017-07-02 20:30,0.05,0,0.1,0.2,0.6,0.8,0,0.1,0.4,0.8,1,0,0.2,0.2,0.6,1,0.2,0.2,0.4,0.6,1,0.4,0.6,0.6,0.8,1.5
2017-07-02 20:40,0.4,3,3,3,9,8,4,3,3,7,4,2,2,5,6,4,1,1.5,4,4,4,0.8,1,1,1.5,2
2017-07-02 20:50,0.15,10,8,2,2,2,12,6,4,5,3,12,7,4,5,4,7,4,2,8,7,5,3,3,7,4
2017-07-02 21:00,0.15,10,8,4,6,6,9,3,2,5,4,9,6,2,4,2,3,4,2,2,3,5,7,1.5,1.5,2
2017-07-02 21:10,0.2,1,5,12,14,9,2,6,7,9,5,2,6,7,8,6,5,4,6,5,4,7,2,4,3,3
2017-07-02 21:20,0.15,2,3,4,2,1,4,5,7,1.5,2,4,5,6,2,1,6,8,4,1.5,3,5,7,4,1.5,3
2017-07-02 21:30,0.05,1,3,6,1,1,1.5,4,5,1,1,4,3,4,0.6,1,3,2,2,1,1.5,1.5,1.5,0.6,1,3
2017-07-02 21:40,0,0.4,0.4,0.4,0,0,1,0.8,0.8,0,0.1,3,1,1,0.2,0.2,3,1,0.2,0.2,0.8,1.5,0.8,0.2,0.6,1
2017-07-02 21:50,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.2,0.1
2017-07-02 22:00,0.05,0,0.2,0.8,1,2,0,0.2,1,1,1.5,0,0.1,1.5,1.5,1,0,0.1,0.4,0.4,0.4,0,0.1,0.4,1,0.4
2017-07-02 22:10,0.25,0.2,4,9,10,6,0.2,0.8,3,6,4,0.2,1.5,4,6,3,0.2,2,3,4,8,0.4,2,1.5,2,2
2017-07-02 22:20,0.2,14,4,3,3,3,16,5,3,3,4,10,5,4,6,9,8,4,4,4,6,5,3,2,6,8
2017-07-02 22:30,0.05,0.1,0.4,1,1,1,0.2,0.2,0.6,1,1,0.6,0.4,1,2,2,0.6,0.2,0.8,4,6,0.8,0.6,1.5,6,6
2017-07-02 22:40,0.05,2,2,2,2,4,1,2,2,3,5,3,3,1.5,2,7,3,3,1.5,2,14,2,2,0.4,1.5,12
2017-07-02 22:50,1.15,25,20,20,14,16,14,10,20,20,16,7,2,4,6,4,1.5,0.8,3,7,9,2,1.5,1.5,5,8
2017-07-02 23:00,0.65,6,6,7,7,9,10,10,12,18,14,16,20,14,20,18,18,20,20,20,20,30,35,30,20,20
2017-07-02 23:10,0.65,1.5,1,3,7,10,1.5,1.5,3,6,9,1.5,1.5,2,7,5,2,2,2,5,5,2,2,3,4,5
2017-07-02 23:20,0.1,5,2,1,1,3,4,2,2,1.5,2,6,7,5,5,4,8,8,8,9,9,8,8,7,8,8
2017-07-02 23:30,0.05,0.8,0.4,0.8,1.5,0.4,1.5,0.6,1,1.5,0,0.8,0.6,1,1,0.2,1.5,0.8,0.6,0.8,0.2,2,1,0.6,0.6,0.2
2017-07-02 23:40,0.05,5,5,3,2,2,4,1.5,2,2,1.5,2,1,0.8,2,1.5,0.6,0.2,1,1,0.2,0.8,0.2,0.8,0.2,0
